1  407  275  260  316      505642.249057	3351804.273466	22.779524
2  118  393  71  433       505647.112071	3351809.510068	18.450425
3  298  579  215  564      505647.331844	3351802.445888	12.653651
4  433  595  301  581      505642.033339	3351802.345323	12.689026
5  616  569  495  571      505635.367325	3351798.563159	12.896295
6  717  532  620  536      505630.032484	3351798.392062	14.310708
7  660  535  547  537      505633.272160	3351798.568447	14.275562
8  751  457  723  453      505607.451312	3351774.046175	23.980548
9  991  573  971  604      505625.463661	3351810.078333	12.660061
10  301  342  218  374     505647.531220	3351802.199907	22.605384
11  1128  432  1153  413   505616.779020	3351818.403082	20.884314
12  1047  437  1052  417   505616.963299	3351812.718982	20.326893
13  1059  467  1066  454   505617.055526	3351813.525650	18.246813
14  1129  547  1154  555   505616.909545	3351818.410454	12.714163
15  1211  394  1223  386   505584.350596	3351844.123838	38.923289
16  1204  478  1237  472   505614.485839	3351825.940906	17.995835
17  1166  583  1254  621   505628.404093	3351816.421819	12.615427
18  1294  632  1559  667   505634.306698	3351814.883569	13.640153
19  1474  347  1566  345   505635.181044	3351828.810980	24.582207
20  1318  324  1385  303   505625.407427	3351828.095559	28.663971
21  1606  280  1690  295   505643.137546	3351830.968845	31.480595
22  1600  405  1689  415   505641.536063	3351827.658343	20.326383
23  1488  580  1671  573   505638.529966	3351822.693331	12.873067
24  1755  565  1841  549   505648.829922	3351823.288848	12.852037
