diff_x		diff_y		diff_z		diff_roll	diff_pitch	diff_yaw
21213	    119.3423	     21.0403	    123.1650	     -0.0493	     -0.0018	      0.1880	     -0.0011	      0.0086	     -0.0002
21214	    119.3423	     31.9178	    134.0425	     -0.0169	     -0.0007	      0.0785	     -0.0002	     -0.0016	      0.0005
21314	    123.1650	     10.8776	    134.0425	     -0.0029	     -0.0061	     -0.1639	      0.0003	      0.0378	      0.0022
345	     52.3676	    199.7429	    147.3753	     -0.1485	     -0.0007	     -0.0484	      0.0010	      0.0133	      0.0011
346	     52.3676	    183.1780	    130.8103	     -0.1421	     -0.0003	     -0.0240	      0.0007	      0.0249	      0.0005
347	     52.3676	    147.5307	     95.1630	     -0.1601	     -0.0020	      0.0599	     -0.0005	     -0.0166	     -0.0014
348	     52.3676	    118.0681	     65.7004	     -0.1394	     -0.0005	      0.1164	     -0.0010	      0.0227	     -0.0028
349	     52.3676	     76.7955	     24.4279	     -0.0945	      0.0026	      0.3589	     -0.0033	      0.1068	     -0.0084
3410	     52.3676	     60.7900	     11.0329	     -0.8680	     -0.0454	     -1.6336	      0.0149	     -1.1156	      0.0379
3411	     52.3676	     29.9910	     73.8430	      0.0071	      0.0122	     -0.1352	      0.0039	      0.3408	      0.0031
3412	     52.3676	     22.3456	     70.3622	     -0.2793	     -0.0050	     -1.1420	      0.0134	     -0.1081	      0.0266
3413	     52.3676	     43.3859	     87.2380	     -0.0501	      0.0076	     -0.1626	      0.0036	      0.2237	      0.0037
3414	     52.3676	     54.2634	     98.1155	     -0.0840	      0.0060	     -0.4085	      0.0062	      0.1767	      0.0095
356	    147.3753	     20.2322	    130.8103	     -0.0787	      0.0011	     -0.0211	      0.0036	     -0.0022	      0.0002
357	    147.3753	     52.2123	     95.1630	     -0.0133	      0.0008	      0.0164	      0.0023	     -0.0189	      0.0005
358	    147.3753	     81.6749	     65.7004	      0.0242	      0.0001	      0.0411	      0.0005	     -0.0290	      0.0010
359	    147.3753	    122.9474	     24.4279	      0.2073	      0.0015	      0.1325	      0.0012	     -0.0729	      0.0006
3510	    147.3753	    138.9530	     11.0329	     -0.0205	      0.0058	     -0.0173	      0.0116	     -0.0113	     -0.0024
3511	    147.3753	    189.1451	     73.8430	     -0.0678	     -0.0021	      0.0039	     -0.0025	     -0.0085	      0.0021
3512	    147.3753	    217.7375	     70.3622	     -0.0133	     -0.0006	      0.0244	     -0.0002	     -0.0204	      0.0013
3513	    147.3753	    203.1616	     87.2380	     -0.0557	     -0.0020	      0.0100	     -0.0025	     -0.0114	      0.0021
3514	    147.3753	    206.8289	     98.1155	     -0.0271	     -0.0017	      0.0235	     -0.0021	     -0.0182	      0.0020
367	    130.8103	     35.6473	     95.1630	      0.0299	      0.0021	     -0.0083	      0.0050	     -0.0334	      0.0007
368	    130.8103	     65.1099	     65.7004	      0.0998	      0.0007	      0.0128	      0.0005	     -0.0289	      0.0028
369	    130.8103	    106.3825	     24.4279	      0.3376	      0.0025	      0.0426	      0.0025	     -0.0912	      0.0043
3610	    130.8103	    122.3880	     11.0329	     -0.0582	      0.0045	     -0.0388	      0.0122	     -0.0456	     -0.0024
3611	    130.8103	    172.5801	     73.8430	     -0.0616	     -0.0010	     -0.0054	     -0.0020	      0.0188	      0.0021
3612	    130.8103	    201.1726	     70.3622	     -0.0088	      0.0002	     -0.0035	      0.0006	     -0.0047	      0.0018
3613	    130.8103	    186.5966	     87.2380	     -0.0530	     -0.0009	     -0.0046	     -0.0018	      0.0159	      0.0021
3614	    130.8103	    190.2639	     98.1155	     -0.0271	     -0.0004	     -0.0030	     -0.0008	      0.0056	      0.0021
378	     95.1630	     47.8612	     65.7004	      0.1602	      0.0021	      0.0078	     -0.0015	      0.0317	      0.0043
379	     95.1630	     78.2562	     24.4279	      0.5900	      0.0092	     -0.0998	      0.0025	      0.0626	      0.0108
3710	     95.1630	     98.3020	     11.0329	     -0.1937	      0.0017	     -0.0302	      0.0147	     -0.1345	     -0.0051
3711	     95.1630	    161.1121	     73.8430	     -0.0598	     -0.0011	      0.0527	     -0.0022	      0.0087	      0.0006
3712	     95.1630	    165.5253	     70.3622	     -0.0027	      0.0004	      0.0274	      0.0002	     -0.0020	      0.0011
3713	     95.1630	    174.5070	     87.2380	     -0.0378	     -0.0007	      0.0470	     -0.0019	      0.0094	      0.0010
3714	     95.1630	    185.3846	     98.1155	     -0.0188	     -0.0001	      0.0353	     -0.0006	      0.0019	      0.0010
389	     65.7004	     41.2725	     24.4279	      0.9277	      0.0025	     -0.4224	      0.0107	     -0.3654	      0.0222
3810	     65.7004	     57.2781	     11.0329	22451909115542919000000000000.0000	 323019.8508	383668947960081010000000000.0000	-1793642.4123	38045617247013781000000000.0000	 270163.3428
3811	     65.7004	    113.2509	     73.8430	     -0.0489	      0.0006	      0.0890	     -0.0016	      0.0419	     -0.0006
3812	     65.7004	    136.0626	     70.3622	      0.0010	      0.0003	      0.0572	     -0.0002	     -0.0036	      0.0005
3813	     65.7004	    126.6458	     87.2380	     -0.0221	      0.0006	      0.0761	     -0.0013	      0.0319	     -0.0000
3814	     65.7004	    137.5233	     98.1155	     -0.0124	      0.0002	      0.0634	     -0.0004	      0.0005	      0.0002
3910	     24.4279	     20.0458	     11.0329	      0.6898	      0.0203	     -0.0954	     -0.0018	      0.4695	      0.0121
3911	     24.4279	     82.8559	     73.8430	     -0.0374	      0.0013	      0.3097	     -0.0020	      0.0311	     -0.0066
3912	     24.4279	     94.7901	     70.3622	      0.0599	      0.0030	      0.2510	     -0.0015	      0.0526	     -0.0040
3913	     24.4279	     96.2508	     87.2380	      0.0367	      0.0021	      0.2618	     -0.0014	      0.0287	     -0.0045
3914	     24.4279	    107.1284	     98.1155	      0.0233	      0.0003	      0.2588	     -0.0007	     -0.0370	     -0.0046
31011	     11.0329	     62.8101	     73.8430	      0.2121	      0.0521	      1.9308	      0.0176	      0.9901	     -0.0585
31012	     11.0329	     78.7846	     70.3622	      0.4669	      0.0345	      0.8312	      0.0075	      0.6923	     -0.0207
31013	     11.0329	     76.2050	     87.2380	      0.2630	      0.0259	      0.6422	      0.0103	      0.4578	     -0.0185
31014	     11.0329	     87.0826	     98.1155	      0.0620	      0.0126	      0.2226	      0.0116	      0.1407	     -0.0087
31112	     73.8430	     28.5924	     70.3622	     -0.1168	     -0.0110	      0.1052	     -0.0065	     -0.2255	      0.0012
31113	     73.8430	     14.0165	     87.2380	     -0.0725	     -0.0026	     -0.0381	     -0.0026	     -0.0146	      0.0033
31114	     73.8430	     24.2725	     98.1155	     -0.0761	     -0.0017	     -0.2292	     -0.0015	      0.0329	      0.0081
31213	     70.3622	     21.0403	     87.2380	     -0.0035	     -0.0022	      0.2029	     -0.0034	     -0.0497	     -0.0022
31214	     70.3622	     31.9178	     98.1155	     -0.0059	     -0.0014	      0.1325	     -0.0021	     -0.0358	     -0.0008
31314	     87.2380	     10.8776	     98.1155	      0.0187	     -0.0038	      0.3227	     -0.0049	     -0.1067	     -0.0045
456	    199.7429	     20.2322	    183.1780	     -0.0585	     -0.0011	     -0.0479	      0.0033	      0.0240	     -0.0019
457	    199.7429	     52.2123	    147.5307	     -0.0006	     -0.0007	     -0.0399	      0.0028	      0.0071	     -0.0031
458	    199.7429	     81.6749	    118.0681	     -0.0462	     -0.0001	     -0.0353	      0.0003	     -0.0143	     -0.0012
459	    199.7429	    122.9474	     76.7955	     -0.0397	     -0.0000	     -0.0339	      0.0001	     -0.0178	     -0.0013
4510	    199.7429	    138.9530	     60.7900	     -0.0534	     -0.0002	     -0.0366	      0.0005	     -0.0112	     -0.0011
4511	    199.7429	    189.1451	     29.9910	     -0.2562	      0.0028	     -0.0073	     -0.0122	     -0.1278	      0.0082
4512	    199.7429	    217.7375	     22.3456	      0.1962	      0.0023	      0.0086	     -0.0040	     -0.1130	     -0.0056
4513	    199.7429	    203.1616	     43.3859	     -0.0674	      0.0026	     -0.0025	     -0.0086	     -0.1201	      0.0024
4514	    199.7429	    206.8289	     54.2634	     -0.2149	      0.0098	      0.0899	     -0.0347	     -0.4099	      0.0148
467	    183.1780	     35.6473	    147.5307	      0.0244	     -0.0014	     -0.0687	      0.0049	      0.0167	     -0.0039
468	    183.1780	     65.1099	    118.0681	     -0.0329	      0.0007	     -0.0424	     -0.0000	     -0.0074	     -0.0009
469	    183.1780	    106.3825	     76.7955	     -0.0318	      0.0006	     -0.0434	      0.0002	     -0.0056	     -0.0011
4610	    183.1780	    122.3880	     60.7900	     -0.0499	      0.0003	     -0.0409	      0.0005	      0.0009	     -0.0009
4611	    183.1780	    172.5801	     29.9910	     -0.1732	      0.0042	      0.0127	     -0.0088	     -0.0409	      0.0050
4612	    183.1780	    201.1726	     22.3456	      0.1856	      0.0021	     -0.0815	     -0.0005	     -0.0631	     -0.0043
4613	    183.1780	    186.5966	     43.3859	     -0.0478	      0.0036	     -0.0201	     -0.0061	     -0.0504	      0.0019
4614	    183.1780	    190.2639	     54.2634	     -0.0334	      0.0041	     -0.0199	     -0.0070	     -0.0609	      0.0020
478	    147.5307	     47.8612	    118.0681	     -0.0896	     -0.0010	      0.0214	      0.0003	     -0.0087	     -0.0020
479	    147.5307	     78.2562	     76.7955	     -0.0456	      0.0002	      0.0053	     -0.0002	     -0.0071	     -0.0020
4710	    147.5307	     98.3020	     60.7900	     -0.0445	     -0.0000	      0.0020	      0.0001	     -0.0058	     -0.0021
4711	    147.5307	    161.1121	     29.9910	     -0.1084	      0.0035	      0.0993	     -0.0080	     -0.0397	      0.0007
4712	    147.5307	    165.5253	     22.3456	      0.2039	      0.0026	     -0.1449	      0.0044	      0.0293	     -0.0045
4713	    147.5307	    174.5070	     43.3859	      0.0087	      0.0040	      0.0196	     -0.0049	     -0.0197	     -0.0008
4714	    147.5307	    185.3846	     54.2634	      0.0104	      0.0027	      0.0001	     -0.0026	     -0.0115	     -0.0015
489	    118.0681	     41.2725	     76.7955	     -0.0340	      0.0002	     -0.0495	      0.0003	     -0.0143	     -0.0010
4810	    118.0681	     57.2781	     60.7900	     -0.0531	     -0.0003	     -0.0280	      0.0004	     -0.0148	     -0.0013
4811	    118.0681	    113.2509	     29.9910	     -0.0389	      0.0059	      0.0684	     -0.0039	      0.0793	     -0.0007
4812	    118.0681	    136.0626	     22.3456	      0.1062	      0.0008	     -0.2808	      0.0023	     -0.0698	      0.0014
4813	    118.0681	    126.6458	     43.3859	      0.0034	      0.0050	     -0.0202	     -0.0026	      0.0460	     -0.0001
4814	    118.0681	    137.5233	     54.2634	      0.0009	      0.0031	     -0.0535	     -0.0012	      0.0159	     -0.0002
4910	     76.7955	     20.0458	     60.7900	     -0.1948	     -0.0155	     -0.0662	      0.0003	     -0.3807	     -0.0021
4911	     76.7955	     82.8559	     29.9910	      0.0213	      0.0077	      0.0512	     -0.0005	      0.1746	     -0.0022
4912	     76.7955	     94.7901	     22.3456	      0.0334	     -0.0004	     -0.4396	      0.0038	     -0.0908	      0.0063
4913	     76.7955	     96.2508	     43.3859	      0.0243	      0.0062	     -0.0401	      0.0003	      0.1244	     -0.0006
4914	     76.7955	    107.1284	     54.2634	      0.0024	      0.0031	     -0.0878	      0.0007	      0.0451	      0.0000
41011	     60.7900	     62.8101	     29.9910	      0.0326	      0.0079	      0.0540	     -0.0001	      0.1868	     -0.0026
41012	     60.7900	     78.7846	     22.3456	     -0.4138	     -0.0073	     -1.3142	      0.0115	     -0.2181	      0.0340
41013	     60.7900	     76.2050	     43.3859	     -0.0048	      0.0065	     -0.0809	      0.0010	      0.1487	      0.0010
41014	     60.7900	     87.0826	     54.2634	     -0.0561	      0.0050	     -0.2717	      0.0026	      0.1052	      0.0062
41112	     29.9910	     28.5924	     22.3456	      0.7039	      0.0116	      0.5325	      0.0202	      0.6299	     -0.0359
41113	     29.9910	     14.0165	     43.3859	      1.7968	      0.0265	      1.0586	      0.0636	      1.7296	     -0.0814
41114	     29.9910	     24.2725	     54.2634	      0.2659	     -0.0070	      0.8721	     -0.0096	     -0.2536	     -0.0316
41213	     22.3456	     21.0403	     43.3859	      0.4742	      0.0074	      0.3608	      0.0053	      0.2299	     -0.0227
41214	     22.3456	     31.9178	     54.2634	-12851566387772590.0000	-17180642.5509	-97165735385530912.0000	92537998.8641	109797367810721740.0000	54190470.7439
41314	     43.3859	     10.8776	     54.2634	     -0.0122	      0.0034	      0.0204	     -0.0064	     -0.0606	      0.0000
567	     20.2322	     35.6473	     52.2123	      0.0244	     -0.0154	     -0.1324	      0.0023	      0.2069	     -0.0089
568	     20.2322	     65.1099	     81.6749	     -0.0876	      0.0231	     -0.0842	      0.0025	     -0.3048	     -0.0033
569	     20.2322	    106.3825	    122.9474	     -0.0640	      0.0031	     -0.0542	      0.0031	     -0.0322	     -0.0021
5610	     20.2322	    122.3880	    138.9530	     -0.0668	      0.0013	     -0.0428	      0.0033	     -0.0079	     -0.0014
5611	     20.2322	    172.5801	    189.1451	     -0.0890	     -0.0046	      0.0196	      0.0041	      0.0784	      0.0029
5612	     20.2322	    201.1726	    217.7375	     -0.0927	     -0.0034	      0.0213	      0.0041	      0.0619	      0.0030
5613	     20.2322	    186.5966	    203.1616	     -0.0899	     -0.0068	      0.0303	      0.0043	      0.1092	      0.0035
5614	     20.2322	    190.2639	    206.8289	     -0.1712	     -0.0016	      0.1567	      0.0058	      0.0522	      0.0130
578	     52.2123	     47.8612	     81.6749	      0.0486	      0.0928	      0.0027	      0.0094	     -1.2052	     -0.0022
579	     52.2123	     78.2562	    122.9474	     -0.0065	      0.0029	     -0.0146	      0.0028	     -0.0416	     -0.0016
5710	     52.2123	     98.3020	    138.9530	     -0.0069	      0.0010	     -0.0123	      0.0026	     -0.0175	     -0.0014
5711	     52.2123	    161.1121	    189.1451	     -0.0117	     -0.0042	      0.0112	      0.0019	      0.0461	      0.0003
5712	     52.2123	    165.5253	    217.7375	     -0.0131	     -0.0019	      0.0164	      0.0021	      0.0158	      0.0006
5713	     52.2123	    174.5070	    203.1616	     -0.0124	     -0.0055	      0.0148	      0.0017	      0.0618	      0.0006
5714	     52.2123	    185.3846	    206.8289	     -0.0149	     -0.0030	      0.0252	      0.0019	      0.0288	      0.0012
589	     81.6749	     41.2725	    122.9474	     -0.0541	      0.0002	     -0.0439	      0.0003	     -0.0162	     -0.0015
5810	     81.6749	     57.2781	    138.9530	     -0.0420	     -0.0003	     -0.0308	      0.0003	     -0.0131	     -0.0011
5811	     81.6749	    113.2509	    189.1451	     -0.0071	     -0.0035	      0.0070	      0.0001	      0.0227	      0.0001
5812	     81.6749	    136.0626	    217.7375	      0.0044	     -0.0009	      0.0196	      0.0004	     -0.0134	      0.0004
5813	     81.6749	    126.6458	    203.1616	     -0.0045	     -0.0043	      0.0098	      0.0000	      0.0317	      0.0003
5814	     81.6749	    137.5233	    206.8289	     -0.0029	     -0.0027	      0.0116	      0.0002	      0.0115	      0.0003
5910	    122.9474	     20.0458	    138.9530	     -0.0208	     -0.0008	     -0.0201	     -0.0006	     -0.0168	     -0.0010
5911	    122.9474	     82.8559	    189.1451	      0.0069	     -0.0026	      0.0009	     -0.0024	     -0.0105	     -0.0003
5912	    122.9474	     94.7901	    217.7375	      0.0352	     -0.0004	      0.0176	     -0.0003	     -0.0295	     -0.0005
5913	    122.9474	     96.2508	    203.1616	      0.0094	     -0.0026	      0.0026	     -0.0024	     -0.0112	     -0.0003
5914	    122.9474	    107.1284	    206.8289	      0.0053	     -0.0022	     -0.0006	     -0.0020	     -0.0127	     -0.0004
51011	    138.9530	     62.8101	    189.1451	      0.0164	     -0.0023	     -0.0017	     -0.0034	     -0.0239	     -0.0007
51012	    138.9530	     78.7846	    217.7375	      0.0475	     -0.0005	      0.0150	     -0.0000	     -0.0273	     -0.0011
51013	    138.9530	     76.2050	    203.1616	      0.0192	     -0.0021	     -0.0002	     -0.0031	     -0.0242	     -0.0007
51014	    138.9530	     87.0826	    206.8289	      0.0087	     -0.0020	     -0.0055	     -0.0029	     -0.0225	     -0.0007
51112	    189.1451	     28.5924	    217.7375	     -0.1822	     -0.0047	      0.0287	      0.0061	      0.1074	      0.0059
51113	    189.1451	     14.0165	    203.1616	      0.0321	     -0.0029	      0.0003	     -0.0022	     -0.0089	     -0.0012
51114	    189.1451	     24.2725	    206.8289	     -0.0018	     -0.0006	     -0.0094	     -0.0074	     -0.0744	     -0.0001
51213	    217.7375	     21.0403	    203.1616	     -0.4187	     -0.0043	      0.0750	      0.0043	      0.1168	      0.0157
51214	    217.7375	     31.9178	    206.8289	      0.1152	     -0.0082	     -0.0393	      0.0131	      0.1731	     -0.0079
51314	    203.1616	     10.8776	    206.8289	     -0.0026	     -0.0017	      0.0015	     -0.0034	     -0.0300	      0.0001
678	     35.6473	     47.8612	     65.1099	      0.0519	     -0.0347	      0.0150	     -0.0040	      0.4630	      0.0025
679	     35.6473	     78.2562	    106.3825	      0.0266	      0.0057	     -0.0351	      0.0061	     -0.0803	     -0.0013
6710	     35.6473	     98.3020	    122.3880	      0.0280	      0.0019	     -0.0265	      0.0052	     -0.0299	     -0.0007
6711	     35.6473	    161.1121	    172.5801	      0.0304	     -0.0052	     -0.0199	      0.0035	      0.0660	     -0.0002
6712	     35.6473	    165.5253	    201.1726	      0.0286	     -0.0028	     -0.0307	      0.0041	      0.0339	     -0.0010
6713	     35.6473	    174.5070	    186.5966	      0.0305	     -0.0068	     -0.0238	      0.0031	      0.0882	     -0.0006
6714	     35.6473	    185.3846	    190.2639	      0.0286	     -0.0048	     -0.0369	      0.0038	      0.0610	     -0.0015
689	     65.1099	     41.2725	    106.3825	     -0.0404	      0.0003	     -0.0452	     -0.0001	     -0.0003	     -0.0011
6810	     65.1099	     57.2781	    122.3880	     -0.0184	      0.0001	     -0.0358	     -0.0000	     -0.0016	     -0.0005
6811	     65.1099	    113.2509	    172.5801	      0.0079	     -0.0026	     -0.0228	     -0.0003	      0.0316	      0.0003
6812	     65.1099	    136.0626	    201.1726	      0.0268	      0.0007	     -0.0175	      0.0002	     -0.0177	      0.0008
6813	     65.1099	    126.6458	    186.5966	      0.0045	     -0.0030	     -0.0240	     -0.0003	      0.0364	      0.0002
6814	     65.1099	    137.5233	    190.2639	      0.0011	     -0.0014	     -0.0265	     -0.0002	      0.0162	      0.0001
6910	    106.3825	     20.0458	    122.3880	      0.0244	     -0.0001	     -0.0289	     -0.0006	     -0.0058	     -0.0000
6911	    106.3825	     82.8559	    172.5801	      0.0145	     -0.0015	     -0.0298	     -0.0022	      0.0133	      0.0002
6912	    106.3825	     94.7901	    201.1726	      0.0437	      0.0007	     -0.0251	      0.0004	     -0.0195	      0.0001
6913	    106.3825	     96.2508	    186.5966	      0.0096	     -0.0013	     -0.0312	     -0.0019	      0.0117	      0.0000
6914	    106.3825	    107.1284	    190.2639	      0.0040	     -0.0007	     -0.0332	     -0.0013	      0.0050	     -0.0002
61011	    122.3880	     62.8101	    172.5801	      0.0133	     -0.0010	     -0.0316	     -0.0030	      0.0056	      0.0002
61012	    122.3880	     78.7846	    201.1726	      0.0419	      0.0003	     -0.0256	      0.0008	     -0.0140	      0.0000
61013	    122.3880	     76.2050	    186.5966	      0.0083	     -0.0008	     -0.0322	     -0.0024	      0.0042	      0.0001
61014	    122.3880	     87.0826	    190.2639	      0.0024	     -0.0005	     -0.0329	     -0.0016	      0.0015	     -0.0001
61112	    172.5801	     28.5924	    201.1726	     -0.1564	     -0.0048	      0.0449	      0.0055	      0.0943	      0.0046
61113	    172.5801	     14.0165	    186.5966	     -0.0210	     -0.0019	     -0.0159	     -0.0011	      0.0251	      0.0011
61114	    172.5801	     24.2725	    190.2639	      0.0171	     -0.0118	      0.0137	      0.0142	      0.1686	      0.0001
61213	    201.1726	     21.0403	    186.5966	     -0.2921	     -0.0033	      0.1129	      0.0030	      0.0930	      0.0103
61214	    201.1726	     31.9178	    190.2639	     -0.1384	      0.0065	      0.0777	     -0.0072	     -0.0774	      0.0095
61314	    186.5966	     10.8776	    190.2639	     -0.0137	      0.0027	     -0.0326	     -0.0055	     -0.0424	      0.0007
789	     47.8612	     41.2725	     78.2562	     -0.3699	     -0.0013	      0.0326	      0.0025	     -0.0943	     -0.0090
7810	     47.8612	     57.2781	     98.3020	     -0.2869	     -0.0022	      0.0298	      0.0017	     -0.0560	     -0.0069
7811	     47.8612	    113.2509	    161.1121	     -0.0126	     -0.0022	      0.0177	     -0.0005	      0.0308	      0.0000
7812	     47.8612	    136.0626	    165.5253	      0.0245	      0.0019	      0.0155	     -0.0004	     -0.0089	      0.0008
7813	     47.8612	    126.6458	    174.5070	     -0.0065	     -0.0022	      0.0174	     -0.0005	      0.0336	      0.0002
7814	     47.8612	    137.5233	    185.3846	     -0.0058	     -0.0002	      0.0172	     -0.0003	      0.0081	      0.0001
7910	     78.2562	     20.0458	     98.3020	     -0.2624	     -0.0025	      0.0352	     -0.0007	     -0.0350	     -0.0064
7911	     78.2562	     82.8559	    161.1121	      0.0106	     -0.0006	      0.0067	     -0.0020	      0.0264	     -0.0006
7912	     78.2562	     94.7901	    165.5253	      0.0524	      0.0018	     -0.0114	      0.0005	     -0.0013	     -0.0001
7913	     78.2562	     96.2508	    174.5070	      0.0143	     -0.0003	      0.0046	     -0.0017	      0.0226	     -0.0006
7914	     78.2562	    107.1284	    185.3846	      0.0070	      0.0004	      0.0007	     -0.0007	      0.0079	     -0.0009
71011	     98.3020	     62.8101	    161.1121	      0.0191	      0.0000	      0.0027	     -0.0027	      0.0245	     -0.0009
71012	     98.3020	     78.7846	    165.5253	      0.0507	      0.0012	     -0.0150	      0.0010	      0.0034	     -0.0002
71013	     98.3020	     76.2050	    174.5070	      0.0212	      0.0002	      0.0001	     -0.0020	      0.0201	     -0.0008
71014	     98.3020	     87.0826	    185.3846	      0.0096	      0.0004	     -0.0029	     -0.0007	      0.0089	     -0.0010
71112	    161.1121	     28.5924	    165.5253	     -0.1148	     -0.0059	      0.0759	      0.0028	      0.0275	      0.0023
71113	    161.1121	     14.0165	    174.5070	      0.0170	     -0.0017	     -0.0010	     -0.0007	      0.0367	     -0.0005
71114	    161.1121	     24.2725	    185.3846	      0.0049	     -0.0072	     -0.0085	      0.0055	      0.0730	      0.0005
71213	    165.5253	     21.0403	    174.5070	     -0.1688	     -0.0034	      0.1507	     -0.0013	     -0.0081	      0.0049
71214	    165.5253	     31.9178	    185.3846	     -0.0477	      0.0011	      0.0773	     -0.0019	     -0.0201	      0.0028
71314	    174.5070	     10.8776	    185.3846	     -0.0314	      0.0145	      0.0793	     -0.0128	     -0.1308	     -0.0005
8910	     41.2725	     20.0458	     57.2781	     -0.9185	     -0.0028	      0.1985	     -0.0012	      0.0314	     -0.0221
8911	     41.2725	     82.8559	    113.2509	      0.0236	      0.0007	     -0.0542	     -0.0017	      0.0573	      0.0004
8912	     41.2725	     94.7901	    136.0626	      0.0420	      0.0005	     -0.0747	      0.0007	     -0.0297	      0.0009
8913	     41.2725	     96.2508	    126.6458	      0.0121	      0.0006	     -0.0531	     -0.0013	      0.0435	      0.0002
8914	     41.2725	    107.1284	    137.5233	      0.0033	      0.0005	     -0.0548	     -0.0006	      0.0187	     -0.0001
81011	     57.2781	     62.8101	    113.2509	      0.0148	      0.0017	     -0.0368	     -0.0021	      0.0616	      0.0003
81012	     57.2781	     78.7846	    136.0626	      0.0304	     -0.0003	     -0.0529	      0.0008	     -0.0268	      0.0007
81013	     57.2781	     76.2050	    126.6458	      0.0080	      0.0012	     -0.0373	     -0.0015	      0.0428	      0.0001
81014	     57.2781	     87.0826	    137.5233	      0.0011	      0.0006	     -0.0389	     -0.0006	      0.0161	     -0.0000
81112	    113.2509	     28.5924	    136.0626	     -0.0599	     -0.0062	      0.1111	      0.0013	     -0.0052	     -0.0005
81113	    113.2509	     14.0165	    126.6458	      0.0000	     -0.0017	     -0.0072	     -0.0007	      0.0365	      0.0002
81114	    113.2509	     24.2725	    137.5233	      0.0017	     -0.0047	     -0.0104	      0.0006	      0.0168	      0.0003
81213	    136.0626	     21.0403	    126.6458	     -0.0516	     -0.0017	      0.1873	     -0.0007	      0.0191	     -0.0001
81214	    136.0626	     31.9178	    137.5233	     -0.0138	     -0.0009	      0.0803	     -0.0001	     -0.0011	      0.0003
81314	    126.6458	     10.8776	    137.5233	      0.0130	     -0.0105	     -0.0561	      0.0018	      0.0297	      0.0006
91011	     20.0458	     62.8101	     82.8559	      0.0236	      0.0052	      0.0049	     -0.0010	      0.1326	     -0.0011
91012	     20.0458	     78.7846	     94.7901	      0.0165	     -0.0027	     -0.0434	     -0.0004	     -0.0732	      0.0003
91013	     20.0458	     76.2050	     96.2508	      0.0196	      0.0027	     -0.0094	     -0.0008	      0.0694	     -0.0007
91014	     20.0458	     87.0826	    107.1284	      0.0056	      0.0005	     -0.0197	     -0.0006	      0.0124	     -0.0006
91112	     82.8559	     28.5924	     94.7901	     -0.0313	     -0.0086	      0.1427	     -0.0037	     -0.1348	     -0.0025
91113	     82.8559	     14.0165	     96.2508	      0.0078	     -0.0029	     -0.0091	     -0.0024	     -0.0149	     -0.0001
91114	     82.8559	     24.2725	    107.1284	      0.0050	     -0.0032	      0.0038	     -0.0025	     -0.0214	     -0.0003
91213	     94.7901	     21.0403	     96.2508	      0.0263	     -0.0013	      0.2122	     -0.0023	     -0.0168	     -0.0035
91214	     94.7901	     31.9178	    107.1284	      0.0156	     -0.0027	      0.1622	     -0.0023	     -0.0448	     -0.0027
91314	     96.2508	     10.8776	    107.1284	      0.0258	     -0.0063	      0.3700	     -0.0040	     -0.1080	     -0.0052
101112	     62.8101	     28.5924	     78.7846	      0.0358	     -0.0091	      0.1873	     -0.0057	     -0.1801	     -0.0060
101113	     62.8101	     14.0165	     76.2050	      0.0135	     -0.0040	     -0.0111	     -0.0040	     -0.0590	     -0.0003
101114	     62.8101	     24.2725	     87.0826	      0.0252	     -0.0031	      0.0652	     -0.0037	     -0.0462	     -0.0026
101213	     78.7846	     21.0403	     76.2050	      0.1082	     -0.0003	      0.2385	     -0.0024	     -0.0109	     -0.0070
101214	     78.7846	     31.9178	     87.0826	      0.0896	     -0.0076	      0.3565	     -0.0070	     -0.1420	     -0.0104
101314	     76.2050	     10.8776	     87.0826	     -0.0067	     -0.0017	     -0.0700	     -0.0029	     -0.0103	      0.0011
111213	     28.5924	     21.0403	     14.0165	      0.9220	      0.0508	      0.7727	      0.0916	      2.5832	     -0.0429
111214	     28.5924	     31.9178	     24.2725	      0.0675	     -0.0059	      0.1884	     -0.0005	     -0.0319	     -0.0069
111314	     14.0165	     10.8776	     24.2725	     -0.0006	     -0.0030	     -0.0127	     -0.0026	     -0.0197	      0.0003
121314	     21.0403	     10.8776	     31.9178	      0.0102	     -0.0025	      0.2076	     -0.0047	     -0.0821	     -0.0028
