diff_x		diff_y		diff_z		diff_roll	diff_pitch	diff_yaw
0513	     39.2524	    203.1616	    234.4579	      0.0629	      0.0083	     -0.0362	     -0.0175	     -0.2794	     -0.0027
0514	     39.2524	    206.8289	    245.3354	      0.1370	     -0.0149	      0.0127	      0.0352	      0.4271	     -0.0088
067	     59.4847	     35.6473	     73.3769	      0.0293	     -0.0014	     -0.0207	      0.0044	      0.0142	     -0.0003
068	     59.4847	     65.1099	    107.8121	      0.0230	      0.0030	     -0.0207	      0.0005	     -0.0475	      0.0006
069	     59.4847	    106.3825	    144.1120	      0.0304	      0.0017	     -0.0295	      0.0016	     -0.0304	     -0.0003
0610	     59.4847	    122.3880	    160.1176	      0.0300	      0.0009	     -0.0271	      0.0023	     -0.0185	     -0.0003
0611	     59.4847	    172.5801	    221.0629	      0.0267	     -0.0117	      0.0098	      0.0139	      0.1652	     -0.0002
0612	     59.4847	    201.1726	    238.9021	      0.0665	     -0.0076	     -0.0638	      0.0097	      0.0990	     -0.0048
0613	     59.4847	    186.5966	    234.4579	-35137021642923307000000.0000	1995314.6966	-1615453815881382500000.0000	 324344.6745	2101321919594648600000.0000	-1242628.2305
0614	     59.4847	    190.2639	    245.3354	      0.0353	     -0.0124	     -0.0019	      0.0144	      0.1737	     -0.0012
078	     73.3769	     47.8612	    107.8121	      0.0346	      0.0064	      0.0147	     -0.0000	     -0.0637	      0.0009
079	     73.3769	     78.2562	    144.1120	      0.0390	      0.0029	     -0.0177	      0.0022	     -0.0261	     -0.0006
0710	     73.3769	     98.3020	    160.1176	      0.0362	      0.0015	     -0.0197	      0.0029	     -0.0127	     -0.0005
0711	     73.3769	    161.1121	    221.0629	      0.0066	     -0.0097	     -0.0166	      0.0084	      0.0915	      0.0008
0712	     73.3769	    165.5253	    238.9021	      0.0373	     -0.0059	     -0.0665	      0.0073	      0.0636	     -0.0025
0713	     73.3769	    174.5070	    234.4579	     -0.0356	     -0.0264	     -0.0107	      0.0165	      0.2481	      0.0027
0714	     73.3769	    185.3846	    245.3354	     -0.0045	     -0.0118	     -0.0025	      0.0092	      0.1091	      0.0018
089	    107.8121	     41.2725	    144.1120	      0.0104	      0.0003	     -0.0663	      0.0009	     -0.0351	      0.0001
0810	    107.8121	     57.2781	    160.1176	      0.0131	     -0.0004	     -0.0486	      0.0009	     -0.0311	      0.0003
0811	    107.8121	    113.2509	    221.0629	      0.0094	     -0.0071	     -0.0256	      0.0016	      0.0022	      0.0005
0812	    107.8121	    136.0626	    238.9021	      0.0150	     -0.0016	     -0.0319	      0.0010	     -0.0251	      0.0005
0813	    107.8121	    126.6458	    234.4579	      0.0042	     -0.0118	     -0.0231	      0.0021	      0.0253	      0.0006
0814	    107.8121	    137.5233	    245.3354	      0.0074	     -0.0113	     -0.0100	      0.0021	      0.0233	      0.0007
0910	    144.1120	     20.0458	    160.1176	      0.0176	     -0.0016	     -0.0363	     -0.0005	     -0.0430	      0.0001
0911	    144.1120	     82.8559	    221.0629	      0.0065	     -0.0054	     -0.0354	     -0.0029	     -0.0577	      0.0006
0912	    144.1120	     94.7901	    238.9021	      0.0312	     -0.0009	     -0.0095	     -0.0002	     -0.0409	     -0.0001
0913	    144.1120	     96.2508	    234.4579	     -0.0024	     -0.0063	     -0.0493	     -0.0034	     -0.0611	      0.0008
0914	    144.1120	    107.1284	    245.3354	     -0.0010	     -0.0107	     -0.0153	     -0.0063	     -0.0784	      0.0012
01011	    160.1176	     62.8101	    221.0629	      0.0091	     -0.0049	     -0.0354	     -0.0042	     -0.0758	      0.0004
01012	    160.1176	     78.7846	    238.9021	      0.0386	     -0.0010	     -0.0050	     -0.0001	     -0.0384	     -0.0006
01013	    160.1176	     76.2050	    234.4579	     -0.0041	     -0.0052	     -0.0550	     -0.0045	     -0.0788	      0.0009
01014	    160.1176	     87.0826	    245.3354	      0.0037	     -0.0104	     -0.0188	     -0.0107	     -0.1318	      0.0007
01112	    221.0629	     28.5924	    238.9021	      0.6805	     -0.0021	      0.5672	     -0.0051	     -0.0563	     -0.0373
01113	    221.0629	     14.0165	    234.4579	      0.0550	     -0.0046	      0.0025	     -0.0046	     -0.0782	     -0.0021
01114	    221.0629	     24.2725	    245.3354	      0.0136	     -0.0124	      0.0015	      0.0155	      0.1854	      0.0006
01213	    238.9021	     21.0403	    234.4579	      0.3883	      0.0014	      0.3323	     -0.0070	     -0.1060	     -0.0192
01214	    238.9021	     31.9178	    245.3354	      0.2100	     -0.0138	     -0.0152	      0.0173	      0.2140	     -0.0151
01314	    234.4579	     10.8776	    245.3354	      0.0173	     -0.0114	     -0.0113	      0.0019	      0.0213	     -0.0001
123	     93.5470	     48.9801	    129.4740	      0.0103	      0.0014	      0.0558	     -0.0012	      0.0463	      0.0008
124	     93.5470	    101.3477	    173.3260	     -0.0832	     -0.0002	     -0.0054	      0.0003	      0.0018	     -0.0012
125	     93.5470	     98.3952	     47.5504	     -0.0470	      0.0035	     -0.0277	      0.0018	     -0.0528	     -0.0010
126	     93.5470	     81.8303	     41.7387	     -0.0133	      0.0061	     -0.0352	      0.0026	     -0.0830	     -0.0006
127	     93.5470	     51.3420	     42.2049	      0.1352	      0.0151	     -0.0319	      0.0044	     -0.1576	      0.0014
128	     93.5470	     16.7204	     90.0661	      0.0772	     -0.0009	      0.1479	     -0.0044	      0.1557	      0.0029
129	     93.5470	     26.9142	    120.4611	     -0.1677	     -0.0000	     -0.0862	      0.0027	     -0.0766	     -0.0033
1210	     93.5470	     46.9599	    140.5069	     -0.1287	     -0.0007	     -0.0397	      0.0012	     -0.0263	     -0.0022
1211	     93.5470	    109.7700	    203.3170	     -0.0330	     -0.0002	      0.0401	     -0.0011	      0.0455	      0.0001
1212	     93.5470	    119.3423	    195.6716	      0.0267	      0.0034	      0.0420	     -0.0003	      0.0156	      0.0009
1213	     93.5470	    123.1650	    216.7119	     -0.0195	      0.0004	      0.0425	     -0.0010	      0.0417	      0.0003
1214	     93.5470	    134.0425	    227.5895	     -0.0111	      0.0020	      0.0268	     -0.0002	      0.0125	      0.0002
134	    129.4740	     52.3676	    173.3260	     -0.1642	     -0.0021	      0.0011	      0.0002	     -0.0215	     -0.0001
135	    129.4740	    147.3753	     47.5504	     -0.0772	      0.0008	     -0.0183	      0.0029	     -0.0029	      0.0004
136	    129.4740	    130.8103	     41.7387	     -0.0717	      0.0009	     -0.0188	      0.0030	     -0.0015	      0.0004
137	    129.4740	     95.1630	     42.2049	     -0.1068	     -0.0023	      0.0741	     -0.0043	      0.0185	      0.0003
138	    129.4740	     65.7004	     90.0661	      0.0157	      0.0012	      0.0679	     -0.0020	      0.0519	      0.0009
139	    129.4740	     24.4279	    120.4611	      0.3004	      0.0081	      0.1111	     -0.0008	      0.1510	      0.0023
1310	    129.4740	     11.0329	    140.5069	      0.0543	      0.0061	     -0.0853	      0.0099	      0.0141	      0.0011
1311	    129.4740	     73.8430	    203.3170	     -0.0555	     -0.0004	      0.0519	     -0.0019	      0.0260	      0.0005
1312	    129.4740	     70.3622	    195.6716	      0.0194	      0.0024	      0.0241	      0.0013	      0.0387	      0.0009
1313	    129.4740	     87.2380	    216.7119	     -0.0308	      0.0004	      0.0493	     -0.0013	      0.0323	      0.0006
1314	    129.4740	     98.1155	    227.5895	     -0.0155	      0.0015	      0.0205	      0.0010	      0.0274	      0.0007
145	    173.3260	    199.7429	     47.5504	     -0.0891	     -0.0015	     -0.0548	      0.0042	      0.0419	     -0.0015
146	    173.3260	    183.1780	     41.7387	     -0.0892	     -0.0012	     -0.0419	      0.0032	      0.0310	     -0.0014
147	    173.3260	    147.5307	     42.2049	     -0.0494	      0.0012	      0.0232	     -0.0021	     -0.0144	     -0.0014
148	    173.3260	    118.0681	     90.0661	     -0.0608	      0.0005	      0.0008	     -0.0003	      0.0017	     -0.0014
